#STN  YY   MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#txt  yr   mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi  hPa    ft
46214 2012 02 24 15 04  MM   MM   MM   3.4    13   8.5 304     MM    MM  10.1    MM   MM   MM    MM
46215 2012 02 24 15 07  MM   MM   MM   2.3    12   9.2 275     MM    MM  11.9    MM   MM   MM    MM
46216 2012 02 24 15 34  MM   MM   MM   1.3    13   7.5 264     MM    MM  13.2    MM   MM   MM    MM
46216 2012 02 24 15 04  MM   MM   MM   1.4    13   7.6 269     MM    MM  13.1    MM   MM   MM    MM
46217 2012 02 24 15 42  MM   MM   MM   1.3    13   8.1 268     MM    MM  13.2    MM   MM   MM    MM
46217 2012 02 24 15 12  MM   MM   MM   1.2    11   7.9 272     MM    MM  13.1    MM   MM   MM    MM
46218 2012 02 24 15 32  MM   MM   MM   3.2    12   9.6 306     MM    MM  11.6    MM   MM   MM    MM
46218 2012 02 24 15 02  MM   MM   MM   3.6    13   9.7 298     MM    MM  11.6    MM   MM   MM    MM
46219 2012 02 24 15 28  MM   MM   MM   2.9    13   9.5 309     MM    MM  13.4    MM   MM   MM    MM
46221 2012 02 24 15 15  MM   MM   MM   1.1    14   8.1 245     MM    MM  13.8    MM   MM   MM    MM
46222 2012 02 24 15 26  MM   MM   MM   1.1    11   8.4 269     MM    MM  13.7    MM   MM   MM    MM
46223 2012 02 24 15 30  MM   MM   MM   0.7    13   7.0 247     MM    MM  14.5    MM   MM   MM    MM
46223 2012 02 24 15 00  MM   MM   MM   0.8    14   7.4 234     MM    MM  14.6    MM   MM   MM    MM
46224 2012 02 24 15 17  MM   MM   MM   0.9    13   7.5 247     MM    MM  14.6    MM   MM   MM    MM
46229 2012 02 24 15 21  MM   MM   MM   2.2    13   9.1 291     MM    MM   9.5    MM   MM   MM    MM
46231 2012 02 24 15 23  MM   MM   MM   1.4    14   8.9 274     MM    MM  14.7    MM   MM   MM    MM
46232 2012 02 24 15 30  MM   MM   MM   1.4    14   8.6 271     MM    MM  14.8    MM   MM   MM    MM
46232 2012 02 24 15 00  MM   MM   MM   1.5    13   8.8 267     MM    MM  14.8    MM   MM   MM    MM
46236 2012 02 24 15 18  MM   MM   MM   2.4    12   8.8 287     MM    MM  11.5    MM   MM   MM    MM
46237 2012 02 24 15 40  MM   MM   MM   2.7    13   9.6 257     MM    MM  11.0    MM   MM   MM    MM
46237 2012 02 24 15 10  MM   MM   MM   2.5    13   9.5 267     MM    MM  10.9    MM   MM   MM    MM
46238 2012 02 24 15 20  MM   MM   MM   2.0    14   8.6 284     MM    MM  13.5    MM   MM   MM    MM
